country,sex,age_group,year,population_000
afg,m,total,2007,6991.43994140625
afg,m,youth,2007,2595.761962890625
afg,m,adult,2007,4395.67822265625
afg,f,total,2007,6520.05224609375
afg,f,youth,2007,2421.443115234375
afg,f,adult,2007,4098.60888671875
afg,mf,total,2008,13841.3095703125
afg,mf,youth,2008,5096.283203125
afg,mf,adult,2008,8745.02734375
afg,m,total,2008,7145.51708984375
afg,m,youth,2008,2632.9140625
afg,m,adult,2008,4512.60302734375
afg,f,total,2008,6695.79248046875
afg,f,youth,2008,2463.368896484375
afg,f,adult,2008,4232.423828125
afg,mf,total,2009,14211.2724609375
afg,mf,youth,2009,5203.9111328125
afg,mf,adult,2009,9007.361328125
afg,m,total,2009,7322.7919921875
afg,m,youth,2009,2687.12109375
afg,m,adult,2009,4635.6708984375
afg,f,total,2009,6888.48046875
afg,f,youth,2009,2516.7900390625
afg,f,adult,2009,4371.68994140625
afg,mf,total,2010,14655.17578125
afg,mf,youth,2010,5359.13623046875
afg,mf,adult,2010,9296.0400390625
afg,m,total,2010,7542.81396484375
afg,m,youth,2010,2768.198974609375
afg,m,adult,2010,4774.615234375
afg,f,total,2010,7112.36181640625
afg,f,youth,2010,2590.93701171875
afg,f,adult,2010,4521.4248046875
afg,mf,total,2011,15239.9287109375
afg,mf,youth,2011,5614.4130859375
afg,mf,adult,2011,9625.515625
afg,m,total,2011,7852.2021484375
afg,m,youth,2011,2902.93798828125
afg,m,adult,2011,4949.26416015625
afg,f,total,2011,7387.7265625
afg,f,youth,2011,2711.47509765625
afg,f,adult,2011,4676.251953125
afg,mf,total,2012,15918.927734375
afg,mf,youth,2012,5912.5419921875
afg,mf,adult,2012,10006.3857421875
afg,m,total,2012,8213.8427734375
afg,m,youth,2012,3058.966064453125
afg,m,adult,2012,5154.876953125
afg,f,total,2012,7705.0849609375
afg,f,youth,2012,2853.575927734375
afg,f,adult,2012,4851.5087890625
afg,mf,total,2013,16665.12109375
afg,mf,youth,2013,6238.22607421875
afg,mf,adult,2013,10426.89453125
afg,m,total,2013,8611.9658203125
afg,m,youth,2013,3227.84912109375
afg,m,adult,2013,5384.1171875
afg,f,total,2013,8053.1552734375
afg,f,youth,2013,3010.376953125
afg,f,adult,2013,5042.77783203125
afg,mf,total,2014,17435.9296875
afg,mf,youth,2014,6568.19189453125
afg,mf,adult,2014,10867.7373046875
afg,m,total,2014,9022.173828125
afg,m,youth,2014,3397.284912109375
afg,m,adult,2014,5624.88916015625
afg,f,total,2014,8413.755859375
afg,f,youth,2014,3170.906982421875
afg,f,adult,2014,5242.84814453125
afg,mf,total,2015,18201.23046875
afg,mf,youth,2015,6884.74609375
afg,mf,adult,2015,11316.484375
afg,m,total,2015,9426.912109375
afg,m,youth,2015,3558.02587890625
afg,m,adult,2015,5868.88623046875
afg,f,total,2015,8774.318359375
afg,f,youth,2015,3326.719970703125
afg,f,adult,2015,5447.59814453125
afg,mf,total,2016,18915.443359375
afg,mf,youth,2016,7156.19580078125
afg,mf,adult,2016,11759.2470703125
afg,m,total,2016,9793.1064453125
afg,m,youth,2016,3694.611083984375
afg,m,adult,2016,6098.4951171875
afg,f,total,2016,9122.3369140625
afg,f,youth,2016,3461.5849609375
afg,f,adult,2016,5660.751953125
afg,mf,total,2017,19601.302734375
afg,mf,youth,2017,7410.56787109375
afg,mf,adult,2017,12190.734375
afg,m,total,2017,10142.8984375
afg,m,youth,2017,3822.97607421875
