country,sex,age_group,year,employment_to_population_ratio
afg,mf,total,1998,45.741004943847656
afg,mf,youth,1998,35.28466796875
afg,mf,adult,1998,51.887939453125
afg,m,total,1998,76.26982879638672
afg,m,youth,1998,56.33732604980469
afg,m,adult,1998,88.25530242919922
afg,f,total,1998,13.167174339294434
afg,f,youth,1998,12.148815155029297
afg,f,adult,1998,13.751481056213379
afg,mf,total,1999,45.69524002075195
afg,mf,youth,1999,35.293968200683594
afg,mf,adult,1999,51.824684143066406
afg,m,total,1999,76.29467010498047
afg,m,youth,1999,56.41435241699219
afg,m,adult,1999,88.28321838378906
afg,f,total,1999,13.090808868408203
afg,f,youth,1999,12.103063583374023
afg,f,adult,1999,13.65867805480957
afg,mf,total,2000,45.505611419677734
afg,mf,youth,2000,34.68560791015625
afg,mf,adult,2000,51.900917053222656
afg,m,total,2000,76.05238342285156
afg,m,youth,2000,55.682640075683594
afg,m,adult,2000,88.37665557861328
afg,f,total,2000,12.954447746276855
afg,f,youth,2000,11.619625091552734
afg,f,adult,2000,13.723902702331543
afg,mf,total,2001,45.63557052612305
afg,mf,youth,2001,34.83592987060547
afg,mf,adult,2001,52.10107421875
afg,m,total,2001,76.05097198486328
afg,m,youth,2001,55.78631591796875
afg,m,adult,2001,88.43388366699219
afg,f,total,2001,13.10289478302002
afg,f,youth,2001,11.823512077331543
afg,f,adult,2001,13.852154731750488
afg,mf,total,2002,45.81748580932617
afg,mf,youth,2002,34.97541427612305
afg,mf,adult,2002,52.375160217285156
afg,m,total,2002,76.05577087402344
afg,m,youth,2002,55.837501525878906
afg,m,adult,2002,88.48648071289062
afg,f,total,2002,13.332448959350586
afg,f,youth,2002,12.082549095153809
afg,f,adult,2002,14.075194358825684
afg,mf,total,2003,46.00275802612305
afg,mf,youth,2003,35.23517990112305
afg,mf,adult,2003,52.55978012084961
afg,m,total,2003,76.12728118896484
afg,m,youth,2003,56.207942962646484
afg,m,adult,2003,88.39631652832031
afg,f,total,2003,13.514101028442383
afg,f,youth,2003,12.280634880065918
afg,f,adult,2003,14.256034851074219
afg,mf,total,2004,46.21392822265625
afg,mf,youth,2004,35.15235900878906
afg,mf,adult,2004,52.96744155883789
afg,m,total,2004,76.1053466796875
afg,m,youth,2004,55.826271057128906
afg,m,adult,2004,88.56078338623047
afg,f,total,2004,13.901467323303223
afg,f,youth,2004,12.630377769470215
afg,f,adult,2004,14.672504425048828
afg,mf,total,2005,46.35028076171875
afg,mf,youth,2005,35.471580505371094
afg,mf,adult,2005,52.978759765625
afg,m,total,2005,76.25191497802734
afg,m,youth,2005,56.501068115234375
afg,m,adult,2005,88.29399871826172
afg,f,total,2005,14.012588500976562
afg,f,youth,2005,12.709956169128418
afg,f,adult,2005,14.805743217468262
afg,mf,total,2006,46.29136276245117
afg,mf,youth,2006,35.12528991699219
afg,mf,adult,2006,52.990234375
afg,m,total,2006,76.2630615234375
afg,m,youth,2006,56.04351043701172
afg,m,adult,2006,88.38780975341797
afg,f,total,2006,14.000103950500488
afg,f,youth,2006,12.601588249206543
afg,f,adult,2006,14.839529991149902
afg,mf,total,2007,46.17145538330078
afg,mf,youth,2007,35.11412811279297
afg,mf,adult,2007,52.70254135131836
afg,m,total,2007,76.35396575927734
afg,m,youth,2007,56.362098693847656
afg,m,adult,2007,88.15968322753906
afg,f,total,2007,13.806809425354004
afg,f,youth,2007,12.336527824401855
afg,f,adult,2007,14.675448417663574
afg,mf,total,2008,46.13399124145508
afg,mf,youth,2008,34.74385070800781
afg,mf,adult,2008,52.77174758911133
afg,m,total,2008,76.28695678710938
afg,m,youth,2008,55.67955780029297
afg,m,adult,2008,88.31050109863281
afg,f,total,2008,13.95580768585205
afg,f,youth,2008,12.367215156555176
afg,f,adult,2008,14.880402565002441
afg,mf,total,2009,46.02138900756836
afg,mf,youth,2009,35.01325225830078
afg,mf,adult,2009,52.381229400634766
afg,m,total,2009,76.34114837646484
afg,m,youth,2009,56.416202545166016
afg,m,adult,2009,87.89088439941406
afg,f,total,2009,13.789996147155762
afg,f,youth,2009,12.161808967590332
afg,f,adult,2009,14.727352142333984
afg,mf,total,2010,46.103118896484375
afg,mf,youth,2010,34.73688888549805
afg,mf,adult,2010,52.655704498291016
afg,m,total,2010,76.18477630615234
afg,m,youth,2010,55.58392333984375
afg,m,adult,2010,88.12862396240234
afg,f,total,2010,14.200860023498535
afg,f,youth,2010,12.463584899902344
afg,f,adult,2010,15.196379661560059
afg,mf,total,2011,47.24015808105469
afg,mf,youth,2011,36.15518569946289
afg,mf,adult,2011,53.705848693847656
afg,m,total,2011,77.59654998779297
afg,m,youth,2011,58.236061096191406
afg,m,adult,2011,88.95223999023438
afg,f,total,2011,14.975221633911133
afg,f,youth,2011,12.515131950378418
afg,f,adult,2011,16.401676177978516
afg,mf,total,2012,47.45946502685547
afg,mf,youth,2012,36.510948181152344
afg,mf,adult,2012,53.92869567871094
afg,m,total,2012,77.53532409667969
afg,m,youth,2012,58.57520294189453
afg,m,adult,2012,88.7864990234375
afg,f,total,2012,15.39773178100586
afg,f,youth,2012,12.858589172363281
afg,f,adult,2012,16.891212463378906
afg,mf,total,2013,47.72693634033203
afg,mf,youth,2013,36.83253479003906
afg,mf,adult,2013,54.244869232177734
afg,m,total,2013,77.33031463623047
afg,m,youth,2013,58.17014694213867
afg,m,adult,2013,88.81708526611328
afg,f,total,2013,16.069377899169922
afg,f,youth,2013,13.953478813171387
afg,f,adult,2013,17.332502365112305
afg,mf,total,2014,47.66740798950195
afg,mf,youth,2014,36.50542068481445
afg,mf,adult,2014,54.41343688964844
afg,m,total,2014,76.69254302978516
afg,m,youth,2014,57.080162048339844
afg,m,adult,2014,88.53791046142578
afg,f,total,2014,16.543392181396484
afg,f,youth,2014,14.461803436279297
afg,f,adult,2014,17.802352905273438
afg,mf,total,2015,47.47581481933594
afg,mf,youth,2015,36.08428192138672
afg,mf,adult,2015,54.406219482421875
afg,m,total,2015,76.27873992919922
afg,m,youth,2015,56.32563400268555
afg,m,adult,2015,88.3753662109375
afg,f,total,2015,16.53066062927246
afg,f,youth,2015,14.435556411743164
afg,f,adult,2015,17.81009292602539
afg,mf,total,2016,47.375732421875
afg,mf,youth,2016,35.855857849121094
afg,mf,adult,2016,54.38626480102539
afg,m,total,2016,76.04963684082031
afg,m,youth,2016,55.89057922363281
afg,m,adult,2016,88.2624740600586
afg,f,total,2016,16.593429565429688
afg,f,youth,2016,14.47244930267334
afg,f,adult,2016,17.890422821044922
afg,mf,total,2017,47.35433578491211
afg,mf,youth,2017,35.761497497558594
afg,mf,adult,2017,54.40144348144531
afg,m,total,2017,75.94300079345703
afg,m,youth,2017,55.66926574707031
afg,m,adult,2017,88.20675659179688
afg,f,total,2017,16.69673728942871
afg,f,youth,2017,14.54755687713623
afg,f,adult,2017,18.010082244873047
afg,mf,total,2018,47.37687301635742
afg,mf,youth,2018,35.738040924072266
afg,mf,adult,2018,54.43179702758789
afg,m,total,2018,75.90859985351562
afg,m,youth,2018,55.560916900634766
afg,m,adult,2018,88.18299102783203
afg,f,total,2018,16.820302963256836
afg,f,youth,2018,14.640121459960938
afg,f,adult,2018,18.14867401123047
afg,mf,total,2019,47.42442321777344
afg,mf,youth,2019,35.74468231201172
afg,mf,adult,2019,54.46860885620117
afg,m,total,2019,75.91864776611328
afg,m,youth,2019,55.503135681152344
afg,m,adult,2019,88.17631530761719
afg,f,total,2019,16.95216941833496
afg,f,youth,2019,14.736623764038086
afg,f,adult,2019,18.29480743408203
afg,mf,total,2020,47.48889923095703
afg,mf,youth,2020,35.7519416809082
afg,mf,adult,2020,54.51557159423828
afg,m,total,2020,75.9510498046875
afg,m,youth,2020,55.44179153442383
afg,m,adult,2020,88.17948150634766
afg,f,total,2020,17.09575843811035
afg,f,youth,2020,14.836953163146973
afg,f,adult,2020,18.45395851135254
alb,mf,total,1991,54.99373245239258
alb,mf,youth,1991,41.35649490356445
alb,mf,adult,1991,60.179893493652344
alb,m,total,1991,63.31892013549805
alb,m,youth,1991,44.7864875793457
alb,m,adult,1991,70.4068603515625
alb,f,total,1991,46.47618103027344
alb,f,youth,1991,37.8178596496582
alb,f,adult,1991,49.749752044677734
alb,mf,total,1992,52.86484909057617
alb,mf,youth,1992,38.23196792602539
alb,mf,adult,1992,58.279090881347656
alb,m,total,1992,60.443912506103516
alb,m,youth,1992,40.86829376220703
alb,m,adult,1992,67.73998260498047
alb,f,total,1992,45.303955078125
alb,f,youth,1992,35.57382583618164
alb,f,adult,1992,48.877994537353516
alb,mf,total,1993,50.21920394897461
alb,mf,youth,1993,34.09375762939453
alb,mf,adult,1993,56.084434509277344
alb,m,total,1993,56.91940689086914
alb,m,youth,1993,34.923282623291016
alb,m,adult,1993,65.01981353759766
alb,f,total,1993,43.715850830078125
alb,f,youth,1993,33.27399826049805
alb,f,adult,1993,47.46811294555664
alb,mf,total,1994,49.78729248046875
alb,mf,youth,1994,33.68864822387695
alb,mf,adult,1994,55.600528717041016
alb,m,total,1994,56.5721435546875
alb,m,youth,1994,34.419822692871094
alb,m,adult,1994,64.74449920654297
alb,f,total,1994,43.35681915283203
alb,f,youth,1994,32.974002838134766
alb,f,adult,1994,47.03001022338867
alb,mf,total,1995,49.65884780883789
alb,mf,youth,1995,34.76372528076172
alb,mf,adult,1995,55.0463752746582
alb,m,total,1995,56.98521041870117
alb,m,youth,1995,37.24763870239258
alb,m,adult,1995,64.37254333496094
alb,f,total,1995,42.824440002441406
alb,f,youth,1995,32.33053207397461
alb,f,adult,1995,46.499080657958984
alb,mf,total,1996,50.767921447753906
alb,mf,youth,1996,36.006004333496094
alb,mf,adult,1996,55.95315170288086
alb,m,total,1996,58.63338851928711
alb,m,youth,1996,38.494197845458984
alb,m,adult,1996,65.87345886230469
alb,f,total,1996,43.36669921875
alb,f,youth,1996,33.58489990234375
alb,f,adult,1996,46.72761917114258
alb,mf,total,1997,51.9803466796875
alb,mf,youth,1997,38.106441497802734
alb,mf,adult,1997,56.7092170715332
alb,m,total,1997,60.129173278808594
alb,m,youth,1997,41.26194763183594
alb,m,adult,1997,66.6222152709961
alb,f,total,1997,44.18410873413086
alb,f,youth,1997,35.044639587402344
alb,f,adult,1997,47.270565032958984
alb,mf,total,1998,50.98394775390625
alb,mf,youth,1998,35.29400634765625
alb,mf,adult,1998,56.18394088745117
alb,m,total,1998,58.808380126953125
alb,m,youth,1998,37.27928161621094
alb,m,adult,1998,65.90142822265625
alb,f,total,1998,43.343231201171875
alb,f,youth,1998,33.37230682373047
alb,f,adult,1998,46.66694641113281
alb,mf,total,1999,50.46427917480469
alb,mf,youth,1999,33.20551681518555
alb,mf,adult,1999,56.055458068847656
alb,m,total,1999,58.06853103637695
alb,m,youth,1999,34.127254486083984
alb,m,adult,1999,65.65205383300781
alb,f,total,1999,42.899166107177734
alb,f,youth,1999,32.318912506103516
alb,f,adult,1999,46.40346145629883
alb,mf,total,2000,53.539093017578125
alb,mf,youth,2000,38.622962951660156
alb,mf,adult,2000,58.30031204223633
alb,m,total,2000,62.83417510986328
alb,m,youth,2000,40.93497848510742
alb,m,adult,2000,69.55858612060547
alb,f,total,2000,44.171287536621094
alb,f,youth,2000,36.42508316040039
alb,f,adult,2000,46.74040985107422
alb,mf,total,2001,47.976566314697266
alb,mf,youth,2001,33.31687927246094
alb,mf,adult,2001,52.62847137451172
alb,m,total,2001,59.79407501220703
alb,m,youth,2001,33.06281661987305
alb,m,adult,2001,67.98673248291016
alb,f,total,2001,36.04853439331055
alb,f,youth,2001,33.56018829345703
alb,f,adult,2001,36.86583709716797
alb,mf,total,2002,52.69807052612305
alb,mf,youth,2002,38.89967346191406
alb,mf,adult,2002,57.09280776977539
alb,m,total,2002,62.729679107666016
alb,m,youth,2002,42.17231750488281
alb,m,adult,2002,69.07878875732422
alb,f,total,2002,42.60652542114258
alb,f,youth,2002,35.756839752197266
alb,f,adult,2002,44.8556022644043
alb,mf,total,2003,52.5172119140625
alb,mf,youth,2003,38.201934814453125
alb,mf,adult,2003,57.13438415527344
alb,m,total,2003,61.83735275268555
alb,m,youth,2003,41.19050979614258
alb,m,adult,2003,68.32291412353516
alb,f,total,2003,43.199195861816406
alb,f,youth,2003,35.33038330078125
alb,f,adult,2003,45.804222106933594
alb,mf,total,2004,51.472808837890625
alb,mf,youth,2004,35.75997543334961
alb,mf,adult,2004,56.632835388183594
alb,m,total,2004,60.78692626953125
alb,m,youth,2004,38.89490509033203
alb,m,adult,2004,67.82255554199219
alb,f,total,2004,42.216129302978516
alb,f,youth,2004,32.743228912353516
alb,f,adult,2004,45.39374923706055
alb,mf,total,2005,50.45331573486328
alb,mf,youth,2005,33.658443450927734
alb,mf,adult,2005,56.080223083496094
alb,m,total,2005,59.47001647949219
alb,m,youth,2005,36.64541244506836
alb,m,adult,2005,66.99530792236328
alb,f,total,2005,41.52412033081055
alb,f,youth,2005,30.770143508911133
alb,f,adult,2005,45.18437576293945
alb,mf,total,2006,49.636470794677734
alb,mf,youth,2006,31.508302688598633
alb,mf,adult,2006,55.640159606933594
alb,m,total,2006,59.00244140625
alb,m,youth,2006,35.01443099975586
alb,m,adult,2006,66.9862060546875
alb,f,total,2006,40.35820388793945
alb,f,youth,2006,28.00918197631836
alb,f,adult,2006,44.42790985107422
alb,mf,total,2007,48.53577423095703
alb,mf,youth,2007,29.834165573120117
alb,mf,adult,2007,54.637821197509766
alb,m,total,2007,56.91080093383789
alb,m,youth,2007,32.54971694946289
alb,m,adult,2007,65.06562042236328
alb,f,total,2007,40.212745666503906
alb,f,youth,2007,27.028850555419922
alb,f,adult,2007,44.40495300292969
alb,mf,total,2008,48.0968132019043
alb,mf,youth,2008,26.780275344848633
alb,mf,adult,2008,54.93795394897461
alb,m,total,2008,57.133819580078125
alb,m,youth,2008,30.320894241333008
alb,m,adult,2008,66.129150390625
alb,f,total,2008,39.077266693115234
alb,f,youth,2008,22.998319625854492
alb,f,adult,2008,44.008968353271484
alb,mf,total,2009,46.97052764892578
alb,mf,youth,2009,25.767433166503906
alb,mf,adult,2009,53.656185150146484
alb,m,total,2009,56.50812911987305
alb,m,youth,2009,29.712900161743164
alb,m,adult,2009,65.47770690917969
alb,f,total,2009,37.42251968383789
alb,f,youth,2009,21.435091018676758
alb,f,adult,2009,42.16154861450195
alb,mf,total,2010,46.21574401855469
alb,mf,youth,2010,27.417978286743164
alb,mf,adult,2010,52.037071228027344
alb,m,total,2010,55.78940963745117
alb,m,youth,2010,30.943626403808594
alb,m,adult,2010,64.05107879638672
alb,f,total,2010,36.63031768798828
alb,f,youth,2010,23.474151611328125
alb,f,adult,2010,40.413883209228516
alb,mf,total,2011,45.58555221557617
