country,sex,age_group,year,employment_thousands
afg,m,total,2013,6659.66015625
afg,m,youth,2013,1877.6444091796875
afg,m,adult,2013,4782.015625
afg,f,total,2013,1294.0919189453125
afg,f,youth,2013,420.05230712890625
afg,f,adult,2013,874.03955078125
afg,mf,total,2014,8311.255859375
afg,mf,youth,2014,2397.74609375
afg,mf,adult,2014,5913.509765625
afg,m,total,2014,6919.3349609375
afg,m,youth,2014,1939.17578125
afg,m,adult,2014,4980.1591796875
afg,f,total,2014,1391.920654296875
afg,f,youth,2014,458.5703430175781
afg,f,adult,2014,933.3502807617188
afg,mf,total,2015,8641.1826171875
afg,mf,youth,2015,2484.311279296875
afg,mf,adult,2015,6156.87158203125
afg,m,total,2015,7190.72998046875
afg,m,youth,2015,2004.0806884765625
afg,m,adult,2015,5186.6494140625
afg,f,total,2015,1450.4527587890625
afg,f,youth,2015,480.23052978515625
afg,f,adult,2015,970.2222900390625
afg,mf,total,2016,8961.330078125
afg,mf,youth,2016,2565.91552734375
afg,mf,adult,2016,6395.4150390625
afg,m,total,2016,7447.6220703125
afg,m,youth,2016,2064.939453125
afg,m,adult,2016,5382.6826171875
afg,f,total,2016,1513.70849609375
afg,f,youth,2016,500.9761047363281
afg,f,adult,2016,1012.732421875
afg,mf,total,2017,9282.06640625
afg,mf,youth,2017,2650.1298828125
afg,mf,adult,2017,6631.93603515625
afg,m,total,2017,7702.8212890625
afg,m,youth,2017,2128.22265625
afg,m,adult,2017,5574.59814453125
afg,f,total,2017,1579.2449951171875
afg,f,youth,2017,521.906982421875
afg,f,adult,2017,1057.3380126953125
afg,mf,total,2018,9606.3193359375
afg,mf,youth,2018,2734.74609375
afg,mf,adult,2018,6871.5732421875
afg,m,total,2018,7959.47998046875
afg,m,youth,2018,2192.0537109375
afg,m,adult,2018,5767.4267578125
afg,f,total,2018,1646.8385009765625
afg,f,youth,2018,542.692138671875
afg,f,adult,2018,1104.146484375
afg,mf,total,2019,9944.5703125
afg,mf,youth,2019,2819.86865234375
afg,mf,adult,2019,7124.7021484375
afg,m,total,2019,8226.8173828125
afg,m,youth,2019,2256.40625
afg,m,adult,2019,5970.4111328125
afg,f,total,2019,1717.7532958984375
afg,f,youth,2019,563.4623413085938
afg,f,adult,2019,1154.291015625
afg,mf,total,2020,10302.8515625
afg,mf,youth,2020,2904.676513671875
afg,mf,adult,2020,7398.17529296875
afg,m,total,2020,8509.208984375
afg,m,youth,2020,2320.145751953125
afg,m,adult,2020,6189.06298828125
afg,f,total,2020,1793.642578125
afg,f,youth,2020,584.5308837890625
afg,f,adult,2020,1209.1116943359375
alb,mf,total,1991,1210.240966796875
alb,mf,youth,1991,250.755615234375
alb,mf,adult,1991,959.4854125976562
alb,m,total,1991,704.683837890625
alb,m,youth,1991,137.8931121826172
alb,m,adult,1991,566.7907104492188
alb,f,total,1991,505.55718994140625
alb,f,youth,1991,112.86248779296875
alb,f,adult,1991,392.6947021484375
alb,mf,total,1992,1150.293701171875
alb,mf,youth,1992,224.67474365234375
alb,mf,adult,1992,925.6188354492188
alb,m,total,1992,656.8143920898438
alb,m,youth,1992,120.57862854003906
alb,m,adult,1992,536.2357788085938
alb,f,total,1992,493.479248046875
alb,f,youth,1992,104.09613037109375
alb,f,adult,1992,389.38311767578125
alb,mf,total,1993,1076.20654296875
alb,mf,youth,1993,194.8710479736328
alb,mf,adult,1993,881.33544921875
alb,m,total,1993,600.8031005859375
alb,m,youth,1993,99.21495056152344
alb,m,adult,1993,501.58819580078125
alb,f,total,1993,475.40338134765625
alb,f,youth,1993,95.65608978271484
alb,f,adult,1993,379.7472839355469
alb,mf,total,1994,1051.858154296875
alb,mf,youth,1994,188.8255615234375
alb,mf,adult,1994,863.0325927734375
alb,m,total,1994,581.5758056640625
alb,m,youth,1994,95.35942840576172
alb,m,adult,1994,486.2163391113281
alb,f,total,1994,470.2823486328125
alb,f,youth,1994,93.46612548828125
alb,f,adult,1994,376.8161926269531
alb,mf,total,1995,1038.977294921875
alb,mf,youth,1995,193.19732666015625
alb,mf,adult,1995,845.77978515625
alb,m,total,1995,575.420166015625
alb,m,youth,1995,102.43324279785156
alb,m,adult,1995,472.9869384765625
alb,f,total,1995,463.5570068359375
alb,f,youth,1995,90.76409149169922
alb,f,adult,1995,372.79290771484375
alb,mf,total,1996,1065.4288330078125
alb,mf,youth,1996,196.42498779296875
alb,mf,adult,1996,869.00390625
alb,m,total,1996,596.5390014648438
alb,m,youth,1996,103.56440734863281
alb,m,adult,1996,492.974609375
alb,f,total,1996,468.88983154296875
alb,f,youth,1996,92.86056518554688
alb,f,adult,1996,376.029296875
alb,mf,total,1997,1098.482421875
alb,mf,youth,1997,204.7066650390625
alb,mf,adult,1997,893.77587890625
alb,m,total,1997,621.2954711914062
alb,m,youth,1997,109.15847778320312
alb,m,adult,1997,512.136962890625
alb,f,total,1997,477.1870422363281
alb,f,youth,1997,95.54816436767578
alb,f,adult,1997,381.6388854980469
alb,mf,total,1998,1087.8133544921875
alb,mf,youth,1998,187.45103454589844
alb,mf,adult,1998,900.3622436523438
alb,m,total,1998,619.9262084960938
alb,m,youth,1998,97.38652801513672
alb,m,adult,1998,522.5396728515625
alb,f,total,1998,467.8871154785156
alb,f,youth,1998,90.06451416015625
alb,f,adult,1998,377.8226013183594
alb,mf,total,1999,1087.9527587890625
alb,mf,youth,1999,175.16806030273438
alb,mf,adult,1999,912.78466796875
alb,m,total,1999,624.3307495117188
alb,m,youth,1999,88.26605224609375
alb,m,adult,1999,536.0647583007812
alb,f,total,1999,463.62200927734375
alb,f,youth,1999,86.90200805664062
alb,f,adult,1999,376.7200012207031
alb,mf,total,2000,1165.6290283203125
alb,mf,youth,2000,203.4634552001953
alb,mf,adult,2000,962.16552734375
alb,m,total,2000,686.6637573242188
alb,m,youth,2000,105.0927734375
alb,m,adult,2000,581.5709838867188
alb,f,total,2000,478.9652099609375
alb,f,youth,2000,98.37067413330078
alb,f,adult,2000,380.59454345703125
alb,mf,total,2001,1054.6265869140625
alb,mf,youth,2001,176.41954040527344
alb,mf,adult,2001,878.2070922851562
alb,m,total,2001,660.2593383789062
alb,m,youth,2001,85.6442642211914
alb,m,adult,2001,574.6150512695312
alb,f,total,2001,394.3673095703125
alb,f,youth,2001,90.7752685546875
alb,f,adult,2001,303.5920104980469
alb,mf,total,2002,1169.80126953125
alb,mf,youth,2002,208.58782958984375
alb,mf,adult,2002,961.2134399414062
alb,m,total,2002,698.316162109375
alb,m,youth,2002,110.78034973144531
alb,m,adult,2002,587.5357666015625
alb,f,total,2002,471.48516845703125
alb,f,youth,2002,97.80747985839844
alb,f,adult,2002,373.67767333984375
alb,mf,total,2003,1176.7489013671875
alb,mf,youth,2003,208.7552490234375
alb,mf,adult,2003,967.9935302734375
alb,m,total,2003,692.713134765625
alb,m,youth,2003,110.29582214355469
alb,m,adult,2003,582.4172973632812
alb,f,total,2003,484.03570556640625
alb,f,youth,2003,98.45942687988281
alb,f,adult,2003,385.5762634277344
alb,mf,total,2004,1162.534423828125
alb,mf,youth,2004,199.66189575195312
alb,mf,adult,2004,962.87255859375
alb,m,total,2004,684.3258056640625
alb,m,youth,2004,106.49658966064453
alb,m,adult,2004,577.8292236328125
alb,f,total,2004,478.2087097167969
alb,f,youth,2004,93.16529846191406
alb,f,adult,2004,385.04339599609375
alb,mf,total,2005,1146.216064453125
alb,mf,youth,2005,191.8979034423828
alb,mf,adult,2005,954.3182373046875
alb,m,total,2005,672.236572265625
alb,m,youth,2005,102.70939636230469
alb,m,adult,2005,569.5271606445312
alb,f,total,2005,473.97955322265625
alb,f,youth,2005,89.18849182128906
alb,f,adult,2005,384.7910461425781
alb,mf,total,2006,1131.8583984375
alb,mf,youth,2006,178.74911499023438
alb,mf,adult,2006,953.1092529296875
alb,m,total,2006,669.55029296875
alb,m,youth,2006,99.22039794921875
alb,m,adult,2006,570.3299560546875
alb,f,total,2006,462.3080139160156
alb,f,youth,2006,79.5287094116211
alb,f,adult,2006,382.7793273925781
alb,mf,total,2007,1107.210205078125
alb,mf,youth,2007,167.4332275390625
alb,mf,adult,2007,939.7770385742188
alb,m,total,2007,647.1105346679688
alb,m,youth,2007,92.82170104980469
alb,m,adult,2007,554.288818359375
alb,f,total,2007,460.09979248046875
alb,f,youth,2007,74.61151885986328
alb,f,adult,2007,385.48828125
alb,mf,total,2008,1096.010498046875
alb,mf,youth,2008,148.26712036132812
alb,mf,adult,2008,947.743408203125
alb,m,total,2008,650.3416748046875
alb,m,youth,2008,86.70108032226562
alb,m,adult,2008,563.640625
alb,f,total,2008,445.6688232421875
alb,f,youth,2008,61.5660400390625
alb,f,adult,2008,384.1028137207031
alb,mf,total,2009,1069.733154296875
alb,mf,youth,2009,140.68118286132812
alb,mf,adult,2009,929.052001953125
alb,m,total,2009,643.8248291015625
alb,m,youth,2009,84.90193939208984
alb,m,adult,2009,558.9229125976562
alb,f,total,2009,425.9083251953125
alb,f,youth,2009,55.77925109863281
alb,f,adult,2009,370.1290588378906
alb,mf,total,2010,1053.7886962890625
alb,mf,youth,2010,147.82540893554688
alb,mf,adult,2010,905.9633178710938
alb,m,total,2010,636.4317016601562
alb,m,youth,2010,88.08721923828125
alb,m,adult,2010,548.344482421875
alb,f,total,2010,417.35699462890625
alb,f,youth,2010,59.738197326660156
alb,f,adult,2010,357.6188049316406
alb,mf,total,2011,1044.470703125
alb,mf,youth,2011,147.38198852539062
alb,mf,adult,2011,897.0886840820312
alb,m,total,2011,621.382568359375
alb,m,youth,2011,88.93922424316406
alb,m,adult,2011,532.443359375
alb,f,total,2011,423.0881042480469
alb,f,youth,2011,58.44276428222656
alb,f,adult,2011,364.6453552246094
alb,mf,total,2012,1040.579833984375
alb,mf,youth,2012,138.36053466796875
alb,mf,adult,2012,902.2192993164062
alb,m,total,2012,609.996826171875
alb,m,youth,2012,82.21612548828125
alb,m,adult,2012,527.7807006835938
alb,f,total,2012,430.5829772949219
alb,f,youth,2012,56.144405364990234
alb,f,adult,2012,374.4385681152344
alb,mf,total,2013,1005.2872314453125
alb,mf,youth,2013,132.47012329101562
alb,mf,adult,2013,872.8170776367188
alb,m,total,2013,583.9801025390625
alb,m,youth,2013,80.99705505371094
alb,m,adult,2013,502.9830017089844
alb,f,total,2013,421.30712890625
alb,f,youth,2013,51.47307586669922
alb,f,adult,2013,369.83404541015625
alb,mf,total,2014,973.7860107421875
alb,mf,youth,2014,121.51065063476562
alb,mf,adult,2014,852.2753295898438
alb,m,total,2014,566.5643310546875
alb,m,youth,2014,74.72773742675781
alb,m,adult,2014,491.8365783691406
alb,f,total,2014,407.2216491699219
alb,f,youth,2014,46.78291320800781
alb,f,adult,2014,360.4387512207031
alb,mf,total,2015,981.7335205078125
alb,mf,youth,2015,121.19474792480469
alb,mf,adult,2015,860.538818359375
alb,m,total,2015,572.2742919921875
alb,m,youth,2015,74.22394561767578
alb,m,adult,2015,498.05035400390625
alb,f,total,2015,409.459228515625
alb,f,youth,2015,46.97079849243164
alb,f,adult,2015,362.4884033203125
alb,mf,total,2016,988.7646484375
alb,mf,youth,2016,119.94429016113281
alb,mf,adult,2016,868.8203735351562
alb,m,total,2016,577.8973999023438
alb,m,youth,2016,73.25750732421875
alb,m,adult,2016,504.639892578125
alb,f,total,2016,410.86724853515625
alb,f,youth,2016,46.68678283691406
alb,f,adult,2016,364.18048095703125
alb,mf,total,2017,997.3571166992188
alb,mf,youth,2017,118.06708526611328
alb,mf,adult,2017,879.2900390625
alb,m,total,2017,584.5887451171875
alb,m,youth,2017,72.01577758789062
alb,m,adult,2017,512.5729370117188
alb,f,total,2017,412.76837158203125
alb,f,youth,2017,46.051300048828125
alb,f,adult,2017,366.71710205078125
alb,mf,total,2018,1005.9046630859375
alb,mf,youth,2018,115.40390014648438
alb,mf,adult,2018,890.5008544921875
alb,m,total,2018,591.2932739257812
alb,m,youth,2018,70.36961364746094
alb,m,adult,2018,520.9237060546875
alb,f,total,2018,414.61138916015625
alb,f,youth,2018,45.034278869628906
alb,f,adult,2018,369.57708740234375
alb,mf,total,2019,1012.4566040039062
alb,mf,youth,2019,111.83641052246094
alb,mf,adult,2019,900.6202392578125
alb,m,total,2019,596.6078491210938
alb,m,youth,2019,68.20237731933594
alb,m,adult,2019,528.4054565429688
alb,f,total,2019,415.8487548828125
alb,f,youth,2019,43.634029388427734
alb,f,adult,2019,372.2147521972656
alb,mf,total,2020,1016.2603149414062
alb,mf,youth,2020,107.46549987792969
alb,mf,adult,2020,908.794921875
alb,m,total,2020,599.9256591796875
alb,m,youth,2020,65.55064392089844
alb,m,adult,2020,534.375
alb,f,total,2020,416.334716796875
alb,f,youth,2020,41.91486358642578
alb,f,adult,2020,374.41986083984375
dza,mf,total,1991,5160.53271484375
dza,mf,youth,1991,1132.675048828125
dza,mf,adult,1991,4027.857421875
dza,m,total,1991,4698.18798828125
dza,m,youth,1991,1019.5541381835938
dza,m,adult,1991,3678.633544921875
dza,f,total,1991,462.34490966796875
dza,f,youth,1991,113.1209945678711
dza,f,adult,1991,349.2239074707031
dza,mf,total,1992,5232.5400390625
dza,mf,youth,1992,1182.017578125
dza,mf,adult,1992,4050.522216796875
dza,m,total,1992,4760.984375
dza,m,youth,1992,1049.2886962890625
dza,m,adult,1992,3711.696044921875
dza,f,total,1992,471.55517578125
dza,f,youth,1992,132.72898864746094
dza,f,adult,1992,338.82623291015625
dza,mf,total,1993,5454.41015625
dza,mf,youth,1993,1262.7548828125
dza,mf,adult,1993,4191.6552734375
dza,m,total,1993,4953.37353515625
dza,m,youth,1993,1115.046875
dza,m,adult,1993,3838.32666015625
dza,f,total,1993,501.036865234375
dza,f,youth,1993,147.70809936523438
dza,f,adult,1993,353.3287048339844
dza,mf,total,1994,5610.18994140625
